filename,lf_compression_method,cd_compression_method,method_mismatch,data_entropy_shannon,data_entropy_renyi,declared_vs_entropy_flag,eocd_count,lf_unknown_method,file_size_bytes,entry_count,suspicious_entry_count,suspicious_entry_ratio,entropy_variance,lf_crc_valid,any_crc_mismatch,is_encrypted
bazaar_016cc33b8ff5dd4c.zip,99,99,False,7.9612,7.924,False,1,1,4636,1,0,0.0,0.0,True,False,True
bazaar_02b858299c240c40.zip,99,99,False,7.9994,7.9989,False,1,1,294827,1,0,0.0,0.0,True,False,True
bazaar_0661ca7ff085c734.zip,99,99,False,8.0,7.9999,False,1,1,3655455,1,0,0.0,0.0,True,False,True
bazaar_072e30bbf2bb844c.zip,99,99,False,7.9999,7.9999,False,1,1,2639481,1,0,0.0,0.0,True,False,True
bazaar_09a13bcae7a29d35.zip,99,99,False,7.9993,7.9987,False,1,1,295262,1,0,0.0,0.0,True,False,True
bazaar_0a29042e7fe4c834.zip,99,99,False,8.0,8.0,False,1,1,70941719,1,0,0.0,0.0,True,False,True
bazaar_0b5fdad7754d2354.zip,99,99,False,8.0,8.0,False,1,1,13656528,1,0,0.0,0.0,True,False,True
bazaar_0d34870cc8150d09.zip,99,99,False,7.9994,7.9987,False,1,1,293790,1,0,0.0,0.0,True,False,True
bazaar_0e143bc1d4663fbc.zip,99,99,False,7.9997,7.9995,False,1,1,641896,1,0,0.0,0.0,True,False,True
bazaar_0f66bcdf70104d59.zip,99,99,False,8.0,8.0,False,1,1,42726839,1,0,0.0,0.0,True,False,True
bazaar_0fc9d3a5423558bb.zip,99,99,False,7.9993,7.9987,False,1,1,293944,1,0,0.0,0.0,True,False,True
bazaar_14c5eda6afe6fd71.zip,99,99,False,7.9999,7.9999,False,1,1,2760612,1,0,0.0,0.0,True,False,True
bazaar_150e2b307d306d87.zip,99,99,False,8.0,8.0,False,1,1,73225391,1,0,0.0,0.0,True,False,True
bazaar_1690a37101bb540d.zip,99,99,False,8.0,8.0,False,1,1,31603322,1,0,0.0,0.0,True,False,True
bazaar_1856d7650f29c950.zip,99,99,False,7.9995,7.999,False,1,1,294066,1,0,0.0,0.0,True,False,True
bazaar_197380d8afbaf4fa.zip,99,99,False,7.9996,7.9993,False,1,1,516539,1,0,0.0,0.0,True,False,True
