family,samples_scanned,evasion_detected,evasion_rate_pct
Gootloader,1070,67,6.3
Unknown,80,7,8.8
Vidar,26,1,3.8
NetSupport RAT,20,1,5.0
ACRStealer,13,0,0.0
Wsgidav,12,0,0.0
ClickFix,6,3,50.0
APT37,6,0,0.0
Dllhijack,6,0,0.0
File-pumped,6,0,0.0
SmartApeSG,6,1,16.7
Omnibar-ai-chat-search,6,1,16.7
SalatStealer,6,0,0.0
APT36,5,1,20.0
Quakbot,4,1,25.0
Smartloader,4,0,0.0
Spam-ita,3,0,0.0
Endesa2026,3,0,0.0
Crewldmainnew-com,3,0,0.0
Formbook,3,0,0.0
Api-devx-help,3,0,0.0
Fake-7-zip,3,0,0.0
Msi-stego,2,0,0.0
Pw-123,2,0,0.0
Malwaremustdie,2,0,0.0
Donutloader,2,0,0.0
Asgardprotector,2,0,0.0
Braodo,2,0,0.0
Mirai,2,0,0.0
Sheetrat,2,0,0.0
Pw-cyrex,2,0,0.0
Njrat,2,0,0.0
Dropped-by-acrstealer,2,2,100.0
Webdot-ddns-net,2,0,0.0
Crashfix,2,2,100.0
Lumma,2,0,0.0
Bot8705156458,1,0,0.0
Bambooware-ru,1,0,0.0
Agent,1,0,0.0
Amadey,1,0,0.0
Admin-diversifiedfireprotection-top,1,0,0.0
138f52,1,0,0.0
Ato,1,0,0.0
Asyncrat,1,0,0.0
Arechclient2,1,1,100.0
Arkanixstealer,1,1,100.0
Claude-update-version-com,1,0,0.0
Corehub-org,1,0,0.0
Matanbuchus,1,0,0.0
Mandatechgroup-com,1,0,0.0
Lua,1,1,100.0
Luckyware,1,0,0.0
Jerrymac2008-duckdns-org,1,0,0.0
Hun,1,0,0.0
Github-com--denboss99,1,0,0.0
Github-com--jenazzz,1,0,0.0
Filebulldogs-com,1,0,0.0
Gh0strat,1,0,0.0
Github-com--adyvot,1,0,0.0
Cbzr-98pq1-ydns-eu,1,0,0.0
Carlessclapped-com,1,1,100.0
Catalogo-castrouria-com,1,0,0.0
Btmob,1,1,100.0
D429b4,1,0,0.0
Cobaltstrike,1,1,100.0
Rclone-stealer-mega,1,0,0.0
Rat,1,0,0.0
Quasarrat,1,0,0.0
Plugx,1,0,0.0
Muddywater,1,0,0.0
Nanafafa-myvnc-com,1,0,0.0
Osx,1,0,0.0
Reparertelephone-fr,1,0,0.0
Res2erch-sl0ut-com,1,0,0.0
Room155,1,0,0.0
Sars-letter,1,0,0.0
Scarfacestealer,1,0,0.0
Ukr,1,0,0.0
Terndoor,1,0,0.0
Then-hclientesbr-com,1,0,0.0
